Latest available 2017 data is November  
DEST,Description,N/A(PCT_ONTIME_ARR)
"MOT","Minot, ND: Minot International",84.9000
"MQT","Marquette, MI: Sawyer International",83.5300
"MRY","Monterey, CA: Monterey Regional",71.9800
"MSN","Madison, WI: Dane County Regional-Truax Field",81.9400
"MSO","Missoula, MT: Missoula International",85.8500
"MSP","Minneapolis, MN: Minneapolis-St Paul International",86.6300
"MSY","New Orleans, LA: Louis Armstrong New Orleans International",79.7400
"MTJ","Montrose/Delta, CO: Montrose Regional",81.1600
"MVY","Martha's Vineyard, MA: Martha's Vineyard Airport",78.4200
"MYR","Myrtle Beach, SC: Myrtle Beach International",84.0300
"OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",79.7800
"OAK","Oakland, CA: Metropolitan Oakland International",78.1500
"OGG","Kahului, HI: Kahului Airport",87.1100
"OKC","Oklahoma City, OK: Will Rogers World",80.4600
"OMA","Omaha, NE: Eppley Airfield",81.2300
"OME","Nome, AK: Nome Airport",85.0500
"ONT","Ontario, CA: Ontario International",78.0900
"ORD","Chicago, IL: Chicago O'Hare International",80.9700
"ORF","Norfolk, VA: Norfolk International",82.0200
"ORH","Worcester, MA: Worcester Regional",74.4000
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional",53.4500
"OTZ","Kotzebue, AK: Ralph Wien Memorial",85.2000
"PAH","Paducah, KY: Barkley Regional",80.1600
"PBG","Plattsburgh, NY: Plattsburgh International",80.3700
"PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",77.0400
"PDX","Portland, OR: Portland International",80.9900
"PGD","Punta Gorda, FL: Punta Gorda Airport",79.4100
"PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",83.4200
"PHL","Philadelphia, PA: Philadelphia International",78.9500
"PHX","Phoenix, AZ: Phoenix Sky Harbor International",82.9200
"PIA","Peoria, IL: General Downing - Peoria International",75.4300
"PIB","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",70.8800
"PIH","Pocatello, ID: Pocatello Regional",90.5200
"PIT","Pittsburgh, PA: Pittsburgh International",81.2400
"PLN","Pellston, MI: Pellston Regional Airport of Emmet County",79.9400
"PNS","Pensacola, FL: Pensacola International",81.9900
"PPG","Pago Pago, TT: Pago Pago International",87.0400
"PSC","Pasco/Kennewick/Richland, WA: Tri Cities",82.2500
"PSE","Ponce, PR: Mercedita",58.6900
"PSG","Petersburg, AK: Petersburg James A Johnson",80.4800
"PSP","Palm Springs, CA: Palm Springs International",78.8600
"PVD","Providence, RI: Theodore Francis Green State",79.7100
"PWM","Portland, ME: Portland International Jetport",76.7100
"RAP","Rapid City, SD: Rapid City Regional",87.2400
"RDD","Redding, CA: Redding Municipal",73.4400
"RDM","Bend/Redmond, OR: Roberts Field",80.0800
"RDU","Raleigh/Durham, NC: Raleigh-Durham International",79.8300
"RHI","Rhinelander, WI: Rhinelander/Oneida County",87.4100
"RIC","Richmond, VA: Richmond International",76.5900
"RKS","Rock Springs, WY: Rock Springs Sweetwater County",85.4400
"RNO","Reno, NV: Reno/Tahoe International",78.0600
"ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",79.8300
"ROC","Rochester, NY: Greater Rochester International",79.1800
"ROW","Roswell, NM: Roswell International Air Center",91.4800
"RST","Rochester, MN: Rochester International",76.9000
"RSW","Fort Myers, FL: Southwest Florida International",81.6000
"SAF","Santa Fe, NM: Santa Fe Municipal",81.9600
"SAN","San Diego, CA: San Diego International",79.7000
